variant,condition,seed,last_generation,final_fitness,final_distance,final_variance,survived,extinct_at
no_noise,pre_adapted_flood,10,0,0.035899161977317906,0.5174048963606452,0.00030443424596008386,False,1
no_noise,pre_adapted_flood,11,330,0.029375407159544693,0.5337352238111981,0.0009003257476758121,False,331
no_noise,pre_adapted_flood,12,0,0.01791922543071713,0.5684026740142134,0.0012624106287381404,False,1
no_noise,pre_adapted_flood,13,399,0.263856844545776,0.31273682496796673,0.002608909520709097,True,
no_noise,pre_adapted_flood,14,399,0.09220418601520773,0.42518998086925197,0.003850241134833664,True,
no_noise,pre_adapted_flood,15,399,0.049937556978578525,0.48831877981450406,0.0008757419835321596,True,
no_noise,pre_adapted_flood,16,399,0.07227215393416488,0.4593100396713761,0.0030886490865019815,True,
no_noise,pre_adapted_flood,17,330,0.016950151821751542,0.5685045406354025,0.0013852209373927666,False,331
no_noise,pre_adapted_flood,18,0,0.04175796608487338,0.5054352114284982,0.0006434787684270019,False,1
no_noise,pre_adapted_flood,19,399,0.02228205492466974,0.5536300551702179,0.001032499274358436,True,
with_noise,baseline,0,148,0.01346247273241322,0.585946923557577,0.0005442136761980254,False,149
with_noise,baseline,1,232,0.01301243359354649,0.5878276301950708,0.0006628802243198769,False,233
with_noise,baseline,2,152,0.010791523411026939,0.5982996020556944,0.0011046233868841284,False,153
with_noise,baseline,3,64,0.010582682640070382,0.6037023219311172,3.341922345545799e-05,False,65
with_noise,baseline,4,129,0.013174920932101248,0.5874708004745806,0.0003971955119362828,False,130
with_noise,baseline,5,252,0.01486664558865657,0.5790309035872595,0.00036678230087901253,False,253
with_noise,baseline,6,93,0.010476164865247916,0.6025466470130056,0.00045921995549874357,False,94
with_noise,baseline,7,113,0.011389043160641257,0.5953531972079875,0.0010142898917496275,False,114
with_noise,baseline,8,397,0.010949220575394691,0.5964861772177876,0.0013418232156765268,False,398
with_noise,baseline,9,459,0.013841514567427717,0.5831775509870569,0.0015088581337706782,True,
with_noise,baseline,10,66,0.012231659650845267,0.5913914916839831,0.0007568628639352778,False,67
with_noise,baseline,11,115,0.012325997659159309,0.5927729183830942,0.00010306340596212137,False,116
with_noise,baseline,12,74,0.012106561262547798,0.5943435004286871,0.00015036420412559989,False,75
with_noise,baseline,13,95,0.011597577031575032,0.5937528738610457,0.00132891156949027,False,96
with_noise,baseline,14,178,0.010438215853427562,0.6041378390001706,2.711709361697228e-31,False,179
with_noise,baseline,15,459,0.06006227586170263,0.4678713841333935,0.002123778230894472,True,
with_noise,baseline,16,424,0.012795353612521076,0.5832776112387656,0.002431863817361619,False,425
with_noise,baseline,17,306,0.018577451736797708,0.5576701687443465,0.0024705947574817505,False,307
with_noise,baseline,18,68,0.01026060629041321,0.6052730523228363,3.019858152799186e-31,False,69
with_noise,baseline,19,67,0.011467247958814077,0.5977977435341921,0.00010962349137675541,False,68
with_noise,naive_flood,0,150,0.05435137258954297,0.48769970003015567,0.00240009042696137,False,151
with_noise,naive_flood,1,399,0.21095592068148572,0.35863745647184786,0.0015339462359097063,True,
with_noise,naive_flood,2,399,0.6445881325029477,0.1827369206124372,0.0007655274180376507,True,
with_noise,naive_flood,3,399,0.09814459411757304,0.43033118638261,0.000643988135938281,True,
with_noise,naive_flood,4,399,0.17606647072688314,0.3725806661386353,0.0007893290936762724,True,
with_noise,naive_flood,5,360,0.014594333836878153,0.5788741178379825,0.001972070952285075,False,361
with_noise,naive_flood,6,399,0.5571436752244731,0.20693773267401286,0.0013002550925960612,True,
with_noise,naive_flood,7,399,0.05007633024206558,0.4866223535502475,0.0010952784715391089,True,
with_noise,naive_flood,8,204,0.01008837887363416,0.6063907073273317,4.104541897478077e-30,False,205
with_noise,naive_flood,9,240,0.05400997459084267,0.48432918617167275,0.0018585640902043952,False,241
with_noise,naive_flood,10,240,0.05797566293749034,0.47275500125121034,0.0025136665366201003,False,241
with_noise,naive_flood,11,399,0.20062231010922596,0.3518017557072699,0.001393217006034508,True,
with_noise,naive_flood,12,399,0.020436731257639684,0.5578832455155684,3.083067173573975e-29,True,
with_noise,naive_flood,13,150,0.0281785747745283,0.5325911603617248,0.0011625900922487482,False,151
with_noise,naive_flood,14,390,0.016378784004722445,0.5698423756843046,0.00134741745818725,False,391
with_noise,naive_flood,15,399,0.2769257258398419,0.31669873378892444,0.0011805026106426998,True,
with_noise,naive_flood,16,367,0.014685038617727101,0.5800271399494338,0.0004352199742910692,False,368
with_noise,naive_flood,17,210,0.03949590979964437,0.5096064323503477,0.0003835739891392222,False,211
with_noise,naive_flood,18,399,0.14313234139422978,0.3932039335372739,0.001260030516714908,True,
with_noise,naive_flood,19,399,0.4068334683728522,0.26373092652895974,0.0010500085510339967,True,
with_noise,pre_adapted_flood,0,60,0.02151945775825774,0.5599979361998818,0.0016445025158550158,False,61
with_noise,pre_adapted_flood,1,90,0.017697016081683427,0.5676822143862563,0.002493252585777189,False,91
with_noise,pre_adapted_flood,2,0,0.025820636316245676,0.5410350956708063,5.722063440285574e-05,False,1
with_noise,pre_adapted_flood,3,0,0.012805619130605482,0.5907054015998966,0.00015050538960455787,False,1
with_noise,pre_adapted_flood,4,399,0.08680559629836267,0.44590120051393256,0.0010444119618659637,True,
with_noise,pre_adapted_flood,5,300,0.013473678497712877,0.5877272888880715,0.0005886941069100382,False,301
with_noise,pre_adapted_flood,6,399,0.10661332180811015,0.4260306259526556,0.0008631457674032511,True,
with_noise,pre_adapted_flood,7,270,0.05700315224372028,0.48302673702343923,0.0009278914953308593,False,271
with_noise,pre_adapted_flood,8,150,0.012048137713196334,0.591169080191682,0.0010332377003567253,False,151
with_noise,pre_adapted_flood,9,60,0.025740648136984543,0.5358210314885719,0.002139124432120132,False,61
with_noise,pre_adapted_flood,10,399,0.42595098895342026,0.2511408618904494,0.0015208752738898362,True,
with_noise,pre_adapted_flood,11,399,0.15330744830060297,0.3771383732875709,0.002129660366386973,True,
with_noise,pre_adapted_flood,12,0,0.013137285002733297,0.5884310816905423,0.000702114991838001,False,1
with_noise,pre_adapted_flood,13,0,0.014419074672480018,0.5810838415873278,0.0006748235109224784,False,1
with_noise,pre_adapted_flood,14,60,0.01611737988298655,0.5727840527531088,0.001631821924029705,False,61
with_noise,pre_adapted_flood,15,399,0.055644057753929756,0.48199769267540765,0.0008891955612822776,True,
with_noise,pre_adapted_flood,16,0,0.04491897596642372,0.500955396773985,0.0014936995747280913,False,1
with_noise,pre_adapted_flood,17,399,0.42977963202429803,0.24971030273904518,0.0017085957768939908,True,
with_noise,pre_adapted_flood,18,390,0.050537550663643724,0.49016599386032034,0.0014665668223384737,False,391
with_noise,pre_adapted_flood,19,30,0.012400030869297907,0.5838063933702445,0.0026513380154261916,False,31
